 ID                                                                                                                                                                                                                                                                      Resenha Sentimento
 24                                                                                                                     A fritadeira é sensacional, muito além do que imaginava. É linda, super funcional e muito fácil de manusear. Fácil de limpar e potente. Super recomendo.        POS
733                                                                                                                                                                                             Após usar o produto, achei-o fácil e muito eficiente. Fácil de usar e de limpar.        POS
865                                                                                                                                                                                                                                          Muito funcional, prática e moderna.        POS
809                                                                                                                                                                                                       Boa, mas não das melhores pois a frente de vidro dificulta na limpeza.        NEG
628                                                                                                                                                                                  Eu comecei a usar e é bem espaçosa. Gostei pois dá para fazer várias coisas ao mesmo tempo.        POS
657                                                                                                                                                                                Usei ela algumas vezes já, muito silenciosa, linda demais a cor e o espaço então nem se fala.        POS
182                                                                                  Superou minhas expectativas, por enquanto tudo certo, porém fiquei decepcionada com as datas de entregas que não estavam certas. Mas do resto tá tudo certo, chegou certinho e sem defeito.        POS
815                                                                                                                                                                                                               Chegou no prazo. Amei, é muito linda. Não vejo a hora de usar.        POS
343                                                                                                                                                                                           Estou muito satisfeito com a negociação, recebimento tudo ok, e antes do esperado.        POS
624                                                                                                                                                                                                                                                   Lindaaaa amei super indico        POS
365                                                                                                                          A fritadeira é ok, mas desde os primeiros dias de uso a mesma começou a enferrujar e a cada dia fica pior, lembrando que tem apenas 7 meses de uso.        NEG
543                                                                                                                                                                        O produto em si é bom, porém oxida, infelizmente não sei a causa, mas fica com a aparência muito feia        NEG
 62                                                                                                                                                                                           Infelizmente começa a enferrujar do nada. pelo preço deveria ter o material melhor        NEG
690                                                                                                                                                                                                                              Beleza, mas não muito eficaz como na propaganda        NEU
909                                                                            Comprei o produto de uma marca mais confiável, porém me decepcionei. O desempenho do forno é bom, mas oxidou em menos de um ano! Pelo preço, pensei que seria melhor! Quero meu dinheiro de volta        NEG
766                                                                                                                                                                           Com 5 meses de uso percebi que tinha locais enferrujados, fiquei muito triste! fora isso ela é ok.        NEG
614                                                                                                                                                                           Horrível! Começou a enferrujar a parte externa com pouco tempo de uso, mesmo sem contato com água.        NEG
452                                                                                                                                                                                                               Gostei, só que não está com 3 meses e ela já está enferrujando        NEU
735                                                                                                                                                                                                                                 Além de enferrujar, estourou o vidro do nada        NEG
135                                                                                                                                                         O aparelho é bom e funciona bem, mas o acabamento é de baixa qualidade e está enferrujando com apenas 4 meses de uso        NEG
395                                                                                                                                                                                   Ruim!!!Enferruja rápido. Até na tampa, onde em tese não pega gordura ou altas temperaturas        NEU
987                                                    O produto em si é bom, mas com um mês de uso reparei que estava oxidando e com o passar do tempo passou para outras partes do aparelho, fiquei decepcionada pois esperava uma qualidade melhor do produto. Não recomendo!        NEG
504         Realmente, para assar ela é maravilhosa, entrega tudo o que promete. Porém quanto ao inox você pode esquecer, ela enferrujou toda com 3 meses de uso!!! Já estou com ela há 6 meses, e só está piorando. Pelo preço que paguei deveria ser um material de qualidade.        NEG
405                         Conforme relatado por outras pessoas, o acabamento é péssimo. Ela começa a perder todo o 'inox' na parte de fora e fica parecendo ferrugem. A qualidade das grelhas, cesto e bandeja são ruins também, em pouco tempo estão perdendo o anti-aderente        NEG
647                                                                                                                                                                               Com o tempo vai ficando feia. A aparencia, o inox amarela tudo por causa do calor. Feia demais        NEG
503                                                                                                                                                                                                                               Estou totalmente decepcionada com esta compra.        NEG
123                                                                                                                                                  Material horrível, arrependido dessa compra. Nos primeiros dias de uso já começaram a aparecer pequenas marcas de oxidação.        NEG
771              Produto com 4 meses de uso enferrujou, na hora de tirar a carne pelo recipiente, a gordura cai tudo em cima da porta, tendo o trabalho de limpar toda vez que usa, mas o que mais chamou a atenção, foi o fato do material 'inoxidável' enferrujar com o tempo.        NEG
121                                                                                                              Não recomendo esse aparelho! Atende bem as funções mas a parte dita 'inox' parece não ser inox uma vez que estourou com menos de um mês de uso, conforme fotos.        NEG
437           Ela pode ser boa, mas a qualidade do material é péssima. Como podem ver, em menos de 1 ano ela está enferrujada. Não tinha avaliado antes pq sempre espero bastante tempo de uso para avalizar, já que o que é novo é tudo ótimo. Tá aí o resultado e a avaliação.        NEG
847                                                                                                Linda em design, ótimos funcionamento, porém oxida rapidamente, a minha está horrível, oxidou na porta e na parte de cima, produto caro para acontecer esse tipo de problema.        NEG
 47                                                                                                                                                                                                                               Achei bem boa e super fácil de usar! Recomendo        POS
462 Muito boa! Me ajuda muito, não precisamos virar os alimentos, tudo fica muito gostoso. O único problema é na hora da limpeza. Se vc tem pressa e não tem tempo de limpar logo o seu compartimento interno, tenho uma péssima notícia: A sujeira não vai sair com facilidade!        POS
 21                                                                                                                                                                                                                       Aparelho bom, mas a sua tampa enferrujou muito rápido.        NEU
202                                                                                                                                                                    Estou usando há 10 dias, funciona muito bem até o momento nada a reclamar, fiz carne, biscoitos tudo 100%        POS
284                                                                                                                                               Design moderno, excelente a proposta dupla de grades...adorei e recomendo... ah, o tão famoso custo × beneficio super aprovado        POS
